mouse,group,session,cr_prob
135,ChR2,1,0.587628866
135,ChR2,2,0.447916667
135,ChR2,3,0.3
135,ChR2,4,0.072164948
135,ChR2,5,0.063157895
135,ChR2,6,0.072916667
135,ChR2,7,0.010416667
137,ChR2,1,0.375
137,ChR2,2,0.253012048
137,ChR2,3,0.566666667
137,ChR2,4,0.151162791
137,ChR2,5,0.427083333
137,ChR2,6,0.102272727
137,ChR2,7,0.087912088
138,ChR2,1,0.663157895
138,ChR2,2,0.488888889
138,ChR2,3,0.357894737
138,ChR2,4,0.298969072
138,ChR2,5,0.28125
138,ChR2,6,0.365591398
138,ChR2,7,0.043010753
134,ChR2,1,0.75257732
134,ChR2,2,0.282828283
134,ChR2,3,0.03030303
134,ChR2,4,0.010526316
134,ChR2,5,0.032258065
134,ChR2,6,0
134,ChR2,7,0
168,ChR2,1,0.768421053
168,ChR2,2,0.673469388
168,ChR2,3,0.402061856
168,ChR2,4,0.319148936
168,ChR2,5,0.292929293
168,ChR2,6,0.19
168,ChR2,7,0.06
172,ChR2,1,0.845360825
172,ChR2,2,0.724489796
172,ChR2,3,0.855670103
172,ChR2,4,0.787878788
172,ChR2,5,0.755102041
172,ChR2,6,0.28
172,ChR2,7,0.530612245
247,ChR2,1,0.515463918
247,ChR2,2,0.55952381
247,ChR2,3,0.433333333
247,ChR2,4,0.125
247,ChR2,5,0.043010753
247,ChR2,6,0.063829787
247,ChR2,7,0
248,ChR2,1,0.761363636
248,ChR2,2,0.568421053
248,ChR2,3,0.75
248,ChR2,4,0.406593407
248,ChR2,5,0.319587629
248,ChR2,6,0.422680412
248,ChR2,7,0.141414141
207,WT,1,0.62244898
207,WT,2,0.494845361
207,WT,3,0.278350515
207,WT,4,0.082474227
207,WT,5,0.030612245
207,WT,6,0.06185567
207,WT,7,0.010309278
208,WT,1,0.806122449
208,WT,2,0.423913043
208,WT,3,0.224489796
208,WT,4,0.051020408
208,WT,5,0
208,WT,6,0
208,WT,7,0
209,WT,1,0.724489796
209,WT,2,0.302083333
209,WT,3,0.303030303
209,WT,4,0.284210526
209,WT,5,0.142857143
209,WT,6,0.244897959
209,WT,7,0.151515152
210,WT,1,0.621052632
210,WT,2,0.373626374
210,WT,3,0.237113402
210,WT,4,0.105263158
210,WT,5,0.108695652
210,WT,6,0.075268817
210,WT,7,0.020618557
